브랜드코드,거래횟수,내점일수,구매주기,봄_구매비율,여름_구매비율,가을_구매비율,겨울_구매비율,주구매요일,12시이전구매비율,12시이후_18시이전구매비율,18시이후구매비율,주중방문비율,주말방문비율,평일_18시_구매비율,방문평균거래평균횟수,금토일방문비율,금오후토일방문비율,주구매시간,총구매액,구매건수,평균구매액,최대구매액,최소구매액,환불금액,환불건수,구매금액표준편차,구매금액왜도,구매금액첨도,구매금액_1q,구매금액_2q,구매금액_3q,중분류_nunique,주구매_중분류,대분류_nunique,주구매_대분류
5100,19018,337,1,0.25642382103990324,0.25377871825876663,0.2383447534596265,0.2514527072417036,4,0.18272202069058174,0.5946358995028886,0.2226420798065296,0.7746540373505307,0.2253459626494693,0.17434166330780598,56.433234421364986,0.4131398629584845,0.2711944108558377,17,5023939316,119088,42186.78049845492,17740000,270.0,-77525337,831,107751.6399239487,74.59224919713417,9251.88446140293,14500.0,27650.0,51081.0,29,용기보증,4,공산품
5101,730,292,1,0.30144167758846657,0.2346002621231979,0.20052424639580602,0.2634338138925295,4,0.16775884665792923,0.5923984272608126,0.2398427260812582,0.7889908256880734,0.21100917431192662,0.18479685452162517,2.5,0.40235910878112713,0.2634338138925295,15,20643100,763,27055.176933158586,246000,3000.0,-683500,17,24049.11616846751,3.030114658405455,15.59072766609098,14000.0,21300.0,35000.0,3,화장잡화,3,잡화파트
5102,277,169,2,0.3087719298245614,0.18947368421052632,0.24912280701754386,0.25263157894736843,3,0.21403508771929824,0.6035087719298246,0.1824561403508772,0.8070175438596491,0.19298245614035087,0.1649122807017544,1.6390532544378698,0.3929824561403509,0.25263157894736843,15,10832580,285,38009.05263157895,238400,4000.0,-62400,2,33878.97064450059,2.8118620734992796,10.311851398004261,18400.0,29000.0,44500.0,4,욕실용품,2,가정용품
5103,295,177,2,0.17363344051446947,0.2797427652733119,0.24758842443729903,0.2990353697749196,3,0.14790996784565916,0.5659163987138264,0.2861736334405145,0.7717041800643086,0.2282958199356913,0.2057877813504823,1.6666666666666667,0.42765273311897106,0.2829581993569132,19,14042780,311,45153.633440514466,260000,1600.0,-1656800,23,47920.22266656618,2.252674756626625,5.430466931412491,24750.0,39200.0,62000.0,3,피혁토탈(B2),2,영플라자
5104,1661,310,1,0.28508042151968943,0.08153078202995008,0.35662784248474766,0.27676095396561284,4,0.165834719911259,0.5895729339988908,0.24459234608985025,0.8141985579589573,0.1858014420410427,0.20354963948973934,5.358064516129033,0.3882418191902385,0.24237382140876318,18,39786940,1803,22067.077093732667,560000,64.0,-1574124,49,31744.72641339041,9.231230820007884,125.72074594397044,11050.0,15050.0,27000.0,6,스타킹,4,잡화파트
5105,253,134,2,0.2206405693950178,0.2704626334519573,0.19217081850533807,0.3167259786476868,3,0.25622775800711745,0.594306049822064,0.1494661921708185,0.7758007117437722,0.22419928825622776,0.12099644128113879,1.8880597014925373,0.3879003558718861,0.24555160142348753,14,34347200,281,122232.02846975089,1291000,10000.0,-6752000,31,214525.3235577338,2.476666844463536,6.884512423659839,37250.0,78000.0,186500.0,4,아동,2,케주얼_구두_아동
5106,713,281,1,0.2595520421607378,0.23583662714097497,0.23451910408432147,0.27009222661396576,4,0.19367588932806323,0.5704874835309618,0.23583662714097497,0.7720685111989459,0.22793148880105402,0.17391304347826086,2.5373665480427046,0.43478260869565216,0.2845849802371542,18,77847000,759,102565.21739130435,1050000,8000.0,-5241000,38,126509.13169498518,3.2742288802350874,14.844643639510934,45000.0,77000.0,133000.0,1,수입종합화장품,2,잡화파트
5107,109,91,3,0.288135593220339,0.211864406779661,0.22033898305084745,0.2796610169491525,4,0.1016949152542373,0.5508474576271186,0.3474576271186441,0.8135593220338984,0.1864406779661017,0.288135593220339,1.1978021978021978,0.4491525423728814,0.2966101694915254,19,11867600,118,100572.8813559322,780000,15300.0,-1376000,9,118601.94668895526,2.5392515060582275,9.054767092312664,48400.0,80000.0,151000.0,1,준보석,1,잡화파트
5108,1729,328,1,0.2790450928381963,0.24615384615384617,0.2726790450928382,0.20212201591511936,4,0.15490716180371353,0.6222811671087534,0.22281167108753316,0.8206896551724138,0.1793103448275862,0.18620689655172415,5.271341463414634,0.4090185676392573,0.2350132625994695,16,200262940,1885,106240.28647214854,1283000,1700.0,-21640870,129,164964.7886639153,2.598044467100515,8.033475009061807,30375.0,62000.0,135000.0,16,셔츠,7,남성의류
5109,329,181,1,0.2564102564102564,0.20512820512820512,0.23931623931623933,0.29914529914529914,3,0.150997150997151,0.6239316239316239,0.22507122507122507,0.7264957264957265,0.27350427350427353,0.17094017094017094,1.8176795580110496,0.4472934472934473,0.3247863247863248,15,34607900,351,98598.0056980057,675000,10000.0,-3966000,29,86768.91968760133,1.9395308038198116,6.432727727871461,62000.0,85000.0,168000.0,2,핸드백,4,잡화
5110,562,243,1,0.20394736842105263,0.2878289473684211,0.2845394736842105,0.2236842105263158,4,0.2450657894736842,0.5888157894736842,0.16611842105263158,0.787828947368421,0.21217105263157895,0.125,2.3127572016460904,0.40625,0.2532894736842105,17,215718600,608,354800.3289473684,5300000,21000.0,-46896600,60,639536.5699050004,3.4473876845349496,15.67680167640682,119000.0,231000.0,594000.0,17,냉난방,2,가정용품
5111,4443,337,1,0.27616394747313966,0.24850775964982094,0.2357739753282929,0.2395543175487465,3,0.17011539992041386,0.6014723438121767,0.22841225626740946,0.7910863509749304,0.20891364902506965,0.177875049741345,13.183976261127597,0.3961400716275368,0.2500994826900119,16,313987000,5026,62472.54277755671,582000,2000.0,-19166000,216,58155.1966758091,2.5192074281874115,10.455912421381202,29000.0,51000.0,90000.0,2,수입종합화장품,4,패션잡화
5112,4708,337,1,0.28122619954303124,0.22162985529322163,0.242003046458492,0.25514089870525514,3,0.1608910891089109,0.5969154607768469,0.2421934501142422,0.7852246763137852,0.21477532368621477,0.190974866717441,13.970326409495549,0.39775323686214775,0.2599009900990099,18,354999420,5252,67593.18735719725,1039000,2000.0,-19233000,222,68662.10669993554,4.029696592642528,27.879065948569238,31000.0,53000.0,88000.0,4,수입종합화장품,3,잡화파트
5113,207,149,2,0.2785388127853881,0.3150684931506849,0.2237442922374429,0.182648401826484,3,0.3059360730593607,0.4657534246575342,0.228310502283105,0.7671232876712328,0.2328767123287671,0.1735159817351598,1.389261744966443,0.4155251141552511,0.2922374429223744,12,19893500,219,90837.899543379,1290000,7000.0,-2744700,17,168924.4177564013,4.323569317908951,22.965321750681014,34125.0,60000.0,120000.0,3,식탁_소품,1,가정용품
5114,490,225,1,0.2617702448210923,0.1902071563088512,0.2900188323917137,0.2580037664783427,4,0.14124293785310735,0.5743879472693032,0.2843691148775895,0.7890772128060264,0.21092278719397364,0.22598870056497175,2.1777777777777776,0.4086629001883239,0.2843691148775895,17,28998600,531,54611.299435028246,359000,19000.0,-6559000,78,54395.179938296395,1.6381587314850017,3.270715987110431,39000.0,64000.0,98000.0,2,뉴베이직캐주얼,1,영캐릭터
5115,475,238,1,0.3413654618473896,0.20883534136546184,0.2710843373493976,0.178714859437751,3,0.2469879518072289,0.5923694779116466,0.1606425702811245,0.7751004016064257,0.2248995983935743,0.1465863453815261,1.995798319327731,0.3614457831325301,0.2469879518072289,15,31411100,498,63074.49799196787,505600,3000.0,-2300700,29,65293.62355463144,2.346721515868201,8.258591667360648,28000.0,54000.0,92000.0,3,아동복,2,아동_스포츠
5116,4945,337,1,0.2787750791974657,0.22509679690249912,0.2587117212249208,0.2374164026751144,3,0.18602604716649068,0.6036606828581486,0.2103132699753608,0.8000703977472721,0.1999296022527279,0.17036254839845125,14.673590504451038,0.3794438577965505,0.2391763463569166,15,569980000,5682,100313.26997536079,1750000,4000.0,-43992000,274,104477.79469867438,3.486777340153143,27.624412665116548,45000.0,85000.0,140000.0,1,수입종합화장품,4,잡화파트
5117,514,181,1,0.27807486631016043,0.2816399286987522,0.1800356506238859,0.26024955436720143,4,0.20855614973262032,0.5989304812834224,0.1925133689839572,0.8003565062388592,0.19964349376114082,0.1532976827094474,2.839779005524862,0.39928698752228164,0.25133689839572193,15,19204120,561,34231.94295900178,512500,4500.0,-1402020,27,42845.34472239462,5.398016700694062,43.613026610167665,16000.0,29000.0,49750.0,5,주방용품,2,가정용품
5118,541,237,1,0.37796610169491524,0.2033898305084746,0.1694915254237288,0.24915254237288137,4,0.23728813559322035,0.5864406779661017,0.17627118644067796,0.7847457627118644,0.21525423728813559,0.14576271186440679,2.282700421940928,0.39661016949152544,0.2576271186440678,17,129146200,590,218891.86440677967,12620000,3000.0,-13431900,48,809108.8348965893,9.708186397363152,122.37874809984731,44000.0,103400.0,190000.0,3,아동복,4,아동_스포츠
5119,338,186,1,0.23115577889447236,0.4045226130653266,0.16834170854271358,0.19597989949748743,2,0.17336683417085427,0.7060301507537688,0.12060301507537688,0.7864321608040201,0.2135678391959799,0.09547738693467336,1.8172043010752688,0.3944723618090452,0.24120603015075376,16,95753200,398,240585.9296482412,7921000,11000.0,-95797500,77,1040285.3653091915,4.92545433268084,27.94010661658478,177000.0,328000.0,580300.0,4,수입부띠끄,5,로얄부띠끄
5120,1120,313,1,0.273960983884648,0.19508057675996607,0.2866836301950806,0.24427480916030533,4,0.19083969465648856,0.6268023748939779,0.1823579304495335,0.7905004240882103,0.20949957591178966,0.14164546225614927,3.5782747603833864,0.3977947413061917,0.24936386768447838,16,65515840,1179,55568.99067005937,1482840,1000.0,-6167900,69,94442.17429071676,6.705973329338388,70.28770563155214,23000.0,37000.0,72000.0,5,유아복,4,아동_스포츠
5121,406,198,1,0.18284424379232506,0.4401805869074492,0.22799097065462753,0.1489841986455982,3,0.18961625282167044,0.6275395033860045,0.18284424379232506,0.8036117381489842,0.1963882618510158,0.14672686230248308,2.0505050505050506,0.38148984198645597,0.23476297968397292,16,26667900,443,60198.41986455982,510000,4800.0,-3072100,42,63609.46229054894,2.710340816425825,11.561548126364668,30000.0,58400.0,96000.0,3,셔츠,2,남성의류
5122,1096,303,1,0.29252259654889073,0.21692686935086278,0.24322103533278555,0.24732949876746096,3,0.28430566967953985,0.6121610517666393,0.10353327855382087,0.8069022185702547,0.19309778142974526,0.08545603944124898,3.617161716171617,0.3656532456861134,0.21446179129005752,12,88706600,1217,72889.56450287592,1039500,7000.0,-16864700,134,102909.52770210915,3.5900670898697986,21.320105797752735,34000.0,66000.0,126400.0,8,아동복,3,아동_스포츠
5123,16,15,23,0.29411764705882354,0.6470588235294118,0.0,0.058823529411764705,2,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.7647058823529411,0.23529411764705882,0.11764705882352941,1.0666666666666667,0.47058823529411764,0.29411764705882354,12,31046000,17,1826235.294117647,2840000,1078000.0,-2160000,1,496433.79887621134,-0.2803996920599901,-0.22859135271841557,1768000.0,2138000.0,2424750.0,3,냉난방,1,가정용품
5124,622,280,1,0.25,0.21894409937888198,0.2593167701863354,0.2717391304347826,4,0.2391304347826087,0.5481366459627329,0.2127329192546584,0.796583850931677,0.20341614906832298,0.17546583850931677,2.2214285714285715,0.453416149068323,0.2670807453416149,16,16319230,644,25340.419254658384,170500,1000.0,-241200,7,20659.600340069697,2.827492274362855,13.152135878014827,12800.0,18600.0,32670.0,5,테이프,1,케주얼_구두_아동
5125,184,118,3,0.336734693877551,0.45408163265306123,0.09183673469387756,0.11734693877551021,1,0.23469387755102042,0.5612244897959183,0.20408163265306123,0.7857142857142857,0.21428571428571427,0.17346938775510204,1.5593220338983051,0.37755102040816324,0.25,17,11863500,196,60528.06122448979,382200,6000.0,-1251800,17,59751.656321124836,1.732569582726931,4.373787862602584,29500.0,59000.0,99000.0,1,수영복,1,스포츠캐쥬얼
5126,396,221,1,0.2986111111111111,0.24537037037037038,0.21296296296296297,0.24305555555555555,4,0.22916666666666666,0.6157407407407407,0.1550925925925926,0.7569444444444444,0.24305555555555555,0.1111111111111111,1.7918552036199096,0.42824074074074076,0.2662037037037037,15,19292520,432,44658.61111111111,280000,8000.0,-1895900,30,37928.28360916499,2.0384019583550774,6.872213177852809,27200.0,43200.0,68800.0,8,아동특선,4,케주얼_구두_아동
5127,7485,337,1,0.2913092550790068,0.2567720090293454,0.24198645598194132,0.20993227990970656,4,0.15936794582392777,0.6033860045146727,0.23724604966139956,0.7963882618510159,0.2036117381489842,0.18397291196388263,22.2106824925816,0.4216704288939052,0.2474040632054176,18,373949700,8860,42206.512415349884,1176000,1800.0,-34369500,574,37967.364004791605,5.556695448626301,106.84531663219838,27800.0,39800.0,59800.0,7,진캐쥬얼,5,케주얼_구두_아동
